
Veggie Crisps,Vol1,Vol2,Vol3,Vol4,Vol5,Vol6,Vol7,Vol8,Vol9,Vol10,Vol11,Vol12,Vol13,Vol14,Vol15,Vol16
1wk Oct 13 2018,129824,503108,502733,243656,14543,635,88240,140238,131333,34623,96710,47237,28747,211296,55217,156079,6763
1wk Oct 20 2018,121352,381239,380884,202103,10483,727,75318,115575,115836,28971,86865,33094,17788,180622,49532,131090,2880
1wk Oct 27 2018,114914,373144,372815,201153,10613,571,75211,114758,114710,28628,86082,31970,16408,171853,47143,124710,4327
1wk Nov 03 2018,117196,475866,475461,228224,13928,326,88580,125390,122729,30487,92242,38095,21288,202459,56759,145700,7913
1wk Nov 10 2018,120895,408490,408258,213921,11665,404,83434,118418,123063,31294,91769,34570,18057,196408,58977,137431,3961
1wk Nov 17 2018,112909,419884,419680,217183,12776,249,82943,121215,120791,29725,91066,37622,18931,192965,56524,136441,6346
1wk Nov 24 2018,121181,455898,455409,235106,13203,192,89218,132493,129322,31519,97803,41494,20007,212034,60004,152030,5956
1wk Dec 01 2018,123828,594913,594650,305307,18151,105,111305,175746,142337,36745,105592,49671,25287,266115,70097,196018,7375
1wk Dec 08 2018,136940,606256,605979,288015,17771,174,110232,159838,155665,39385,116280,52871,25697,278336,76365,201971,6287
1wk Dec 15 2018,126938,630811,630564,287299,17074,76,113205,156944,152461,37606,114855,53612,25300,291251,83606,207645,5110
1wk Dec 22 2018,136249,843252,842794,339212,19153,83,138863,181113,196344,46972,149372,74431,33144,374533,107214,267319,6714
1wk Dec 29 2018,97443,729653,729216,265494,14636,59,116081,134718,173146,42826,130320,63440,32062,299532,100511,199021,7347
1wk Jan 05 2019,99856,506972,506710,215675,11299,39,88738,115599,136864,35124,101740,44094,23777,204500,68331,136169,5528
1wk Jan 12 2019,106379,352557,352355,192742,7321,17,74262,111142,106650,26163,80487,27427,14158,152387,43001,109386,3427
1wk Jan 19 2019,116418,348693,348454,188585,7630,33,73116,107806,111527,27769,83758,28417,14413,166103,48967,117136,2727
1wk Jan 26 2019,111486,350027,349882,191017,7888,18,73493,109618,109814,26581,83233,29943,14708,157868,42245,115623,3935
1wk Feb 02 2019,130818,350791,350535,200710,10954,28,75812,113916,113654,28748,84906,30664,16003,171549,49776,121773,3720
1wk Feb 09 2019,130435,386699,386551,204738,12358,10,77275,115095,118633,30410,88223,35210,18847,166751,48596,118155,4728
1wk Feb 16 2019,128074,380242,380055,193300,11457,24,72791,109028,116165,30275,85890,34294,19559,160756,44268,116488,5039
1wk Feb 23 2019,110349,311185,310983,170709,7999,12,65401,97297,103622,25046,78576,25665,13408,160478,44708,115770,2836
1wk Mar 02 2019,108072,309222,309080,173524,8108,2,66777,98637,105482,24745,80737,25743,13221,153136,43934,109202,3049
1wk Mar 09 2019,128673,374821,374604,196202,10615,3,75182,110402,115569,26232,89337,32000,17060,168881,45926,122955,3976
1wk Mar 16 2019,125191,358010,357891,188263,10660,1,70406,107196,107673,22148,85525,29417,16133,181676,51372,130304,5324
1wk Mar 23 2019,122184,356116,356019,198904,13198,0,73562,112144,107998,23478,84520,29004,16965,158963,45226,113737,6317
1wk Mar 30 2019,132807,371764,371585,205477,12470,2,76649,116356,110987,24171,86816,30926,17005,176508,47615,128893,6043
1wk Apr 06 2019,163330,403624,403475,221500,12230,0,84201,125069,121565,25448,96117,30684,15872,169913,45643,124270,5309
1wk Apr 13 2019,140911,367638,367477,211602,9506,0,76025,126071,111021,23788,87233,29321,14559,168040,43042,124998,3242
1wk Apr 20 2019,146293,468605,468421,227577,10660,0,81316,135601,129107,27333,101774,36896,16364,208298,48040,160258,5173
1wk Apr 27 2019,147034,413319,413155,196025,8817,0,73625,113583,112282,25055,87227,33383,14181,199297,52228,147069,3379
1wk May 04 2019,162603,393399,393321,209898,9648,0,78167,122083,114396,23326,91070,31282,12916,184788,48238,136550,4415
1wk May 11 2019,154639,371208,371051,203946,9385,0,76361,118200,106830,20970,85860,28332,11713,158940,42762,116178,4221
1wk May 18 2019,164696,398690,398593,216402,10081,0,80435,125886,119882,22843,97039,30969,13808,192310,50804,141506,4890
1wk May 25 2019,152954,386553,386449,199031,8400,0,74894,115737,114204,23336,90868,31131,12456,164619,46695,117924,4749
1wk June 01 2019,172188,409147,408990,235693,7993,0,92461,135239,123417,24732,98685,32423,16530,191447,45838,145609,3242
1wk June 08 2019,164556,402522,402418,228314,10552,0,85893,131869,116751,23994,92757,30520,11677,201516,57916,143600,5071
1wk June 15 2019,169943,435001,434859,234871,11277,0,89180,134414,127084,25748,101336,38959,17720,201951,48809,153142,5071
1wk June 22 2019,157180,363501,363374,197669,9725,0,75674,112270,114290,23441,90849,30013,11993,173134,47622,125512,3218
1wk June 29 2019,156964,365723,365596,202542,9473,0,78708,114361,117055,22355,94700,30855,11271,180845,50980,129865,3468
1wk July 06 2019,149579,405331,405226,202726,10792,0,76923,115011,116668,23223,93445,33640,12649,192248,55981,136267,5868
1wk July 13 2019,144618,354288,354169,179164,7912,0,67691,103561,112560,20989,91571,29420,11505,172722,45000,127722,3491
1wk July 20 2019,140092,342701,342582,181223,8110,0,68589,104524,107183,20337,86846,30410,9799,173410,47158,126252,3312
1wk July 27 2019,142007,350011,349891,178273,6575,0,68878,102820,112865,21508,91357,29897,10726,175877,49296,126581,2668
1wk Aug 03 2019,149833,419567,419463,217128,8834,0,84075,124219,121426,23317,98109,35273,14846,189697,49820,139877,5405
1wk Aug 10 2019,134777,356728,356609,182879,7729,0,70160,104990,111177,21528,89649,31147,10423,173236,48865,124371,3621
1wk Aug 17 2019,128652,371883,371719,182532,9024,0,69401,104107,111859,22040,89819,32412,12072,177605,48979,128626,3902
1wk Aug 24 2019,118431,409099,408927,197195,9899,0,72842,114454,111003,21807,89196,35734,12452,196402,53228,143174,5434
1wk Aug 31 2019,148523,467430,466965,255029,13429,0,95266,146334,124043,24181,99862,39889,15231,202746,53780,148966,4772
1wk Sept 07 2019,130099,424023,423836,261850,11584,0,99324,150942,119369,22990,96379,34088,11467,194807,55958,138849,4612
1wk Sept 14 2019,133262,406693,406438,233917,11202,2,85873,136840,111165,20774,90391,33098,10443,185491,50059,135432,5102
1wk Sept 21 2019,139988,421413,421194,249757,11024,0,86811,151922,108087,20445,87642,33710,10714,195631,49406,146225,4162
1wk Sept 28 2019,175689,530134,530015,262033,12276,0,92727,157030,125580,24398,101182,38635,16973,247866,56127,191739,4673
1wk Oct 05 2019,170894,519397,519202,264088,12814,0,92636,158638,124321,22950,101371,31945,13176,253971,61060,192911,4700
1wk Oct 12 2019,183695,458706,458459,229714,9033,0,84402,136279,116591,20124,96467,25155,10371,213656,56642,157014,2774
